Data	Otwarcie	Max	Min	Zamkniêcie
2010-02-17	2.7132	2.7214	2.7033	2.7132
2010-02-18	2.7132	2.7435	2.7099	2.7349
2010-02-19	2.7345	2.7408	2.7149	2.7198
2010-02-21	2.7199	2.7215	2.7168	2.7175
2010-02-22	2.7176	2.7201	2.6967	2.7090
2010-02-23	2.7090	2.7381	2.6905	2.7323
2010-02-24	2.7323	2.7386	2.7157	2.7162
2010-02-25	2.7163	2.7414	2.7138	2.7185
2010-02-26	2.7186	2.7249	2.6907	2.6949
2010-02-28	2.6988	2.6992	2.6972	2.6978
2010-03-01	2.6978	2.7009	2.6805	2.6837
2010-03-02	2.6837	2.6911	2.6719	2.6770
2010-03-03	2.6770	2.6862	2.6609	2.6674
2010-03-04	2.6674	2.6755	2.6557	2.6637
2010-03-05	2.6638	2.6651	2.6443	2.6443
2010-03-07	2.6487	2.6496	2.6481	2.6485
2010-03-08	2.6486	2.6515	2.6412	2.6444
2010-03-09	2.6446	2.6688	2.6423	2.6477
2010-03-10	2.6477	2.6597	2.6382	2.6582
2010-03-11	2.6580	2.6761	2.6563	2.6670
2010-03-12	2.6671	2.6747	2.6603	2.6670
2010-03-14	2.6668	2.6672	2.6656	2.6666
2010-03-15	2.6666	2.6860	2.6654	2.6810
2010-03-16	2.6810	2.6852	2.6599	2.6643
2010-03-17	2.6643	2.6714	2.6585	2.6688
2010-03-18	2.6688	2.7003	2.6682	2.6942
2010-03-19	2.6942	2.7165	2.6919	2.7105
2010-03-21	2.7097	2.7146	2.7096	2.7142
2010-03-22	2.7142	2.7383	2.7094	2.7100
2010-03-23	2.7100	2.7319	2.7071	2.7304
2010-03-24	2.7304	2.7338	2.7128	2.7212
2010-03-25	2.7212	2.7393	2.7130	2.7326
2010-03-26	2.7326	2.7421	2.7150	2.7295
2010-03-28	2.7306	2.7336	2.7252	2.7255
2010-03-28	2.7255	2.7300	2.7084	2.7100
2010-03-29	2.7100	2.7117	2.7002	2.7052
2010-03-31	2.7104	2.7165	2.6654	2.6867
2010-04-01	2.6867	2.6926	2.6800	2.6849
2010-04-03	2.6800	2.6812	2.6786	2.6793
2010-04-04	2.6793	2.6844	2.6750	2.6806
2010-04-05	2.6806	2.6832	2.6715	2.6776
2010-04-06	2.6776	2.6848	2.6665	2.6711
2010-04-07	2.6711	2.6949	2.6698	2.6846
2010-04-08	2.6846	2.7109	2.6741	2.6904
2010-04-10	2.7036	2.7052	2.6933	2.6948
2010-04-11	2.6948	2.6999	2.6755	2.6826
2010-04-12	2.6826	2.7058	2.6823	2.6995
2010-04-13	2.6995	2.7008	2.6820	2.6878
2010-04-15	2.6925	2.7163	2.6921	2.7068
2010-04-17	2.7118	2.7135	2.7108	2.7109
2010-04-18	2.7109	2.7281	2.7097	2.7182
2010-04-19	2.7182	2.7193	2.7024	2.7071
2010-04-20	2.7071	2.7081	2.6934	2.6987
2010-04-21	2.6987	2.7159	2.6959	2.7146
2010-04-22	2.7146	2.7170	2.7026	2.7041
2010-04-24	2.7050	2.7075	2.7043	2.7043
2010-04-25	2.7043	2.7097	2.6965	2.7038
2010-04-26	2.7038	2.7508	2.7031	2.7456
2010-04-28	2.7362	2.7428	2.7210	2.7226
2010-04-29	2.7226	2.7450	2.7151	2.7419
2010-05-01	2.7353	2.7359	2.7330	2.7344
2010-05-02	2.7344	2.7508	2.7257	2.7384
